name,unit_no,sector,coal_source,coal_grade,pithead,base_rs_t,freight_rs_t,recon_ecr,real_ecr,vc_final,vc_source
Kahalgaon,4.0,Centre,domestic,G13,False,1534.13,1280.0,2.2529315471343563,2.17,2.17,real_ISGS_ECR
Rosa TPP,3.0,Private,domestic,G12,False,1616.2400000000002,2190.0,2.653159413820079,,2.653159413820079,reconstructed_landed
Mejia,6.0,Centre,domestic,G13,False,1534.13,2190.0,3.0000385997015853,3.142333333333333,3.142333333333333,real_ISGS_ECR
Vijaywada (Dr. N.TATA Rao Tps),2.0,State,domestic,G15,False,1264.0,2190.0,3.637243973135384,,3.637243973135384,reconstructed_landed
Raigarh TPP(OP Jindal Tps),1.0,Private,domestic,G15,False,1264.0,1280.0,2.4104103593933943,,2.4104103593933943,reconstructed_landed
Dadri (NcTPP),2.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.8435430903420205,3.3,3.3,real_ISGS_ECR
Panipat,6.0,State,domestic,G12,False,1616.2400000000002,2190.0,3.057570082368833,,3.057570082368833,reconstructed_landed
"India Power TPP (Haldia, Hiranmaye )",2.0,Private,domestic,G14,False,1452.02,2190.0,3.2366029376331,,3.2366029376331,reconstructed_landed
Korba-West,2.0,State,domestic,G13,True,1534.13,360.0,1.8183165057692308,,1.8183165057692308,reconstructed_landed
Rosa TPP Ph - 1,1.0,Private,domestic,G12,False,1616.2400000000002,2190.0,2.6114743864406784,,2.6114743864406784,reconstructed_landed
Bongaigaon TPP,1.0,Centre,domestic,G11,False,1698.3500000000001,2190.0,2.6456625098677726,3.37,3.37,real_ISGS_ECR
Dadri (NcTPP),3.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.8412696498917467,3.3,3.3,real_ISGS_ECR
Rayal Seema,5.0,State,domestic,G14,False,1452.02,2190.0,3.3593031317254174,,3.3593031317254174,reconstructed_landed
Tuticorin JV,2.0,Centre,domestic,G13,False,1534.13,2190.0,2.9933174159646345,2.842,2.842,real_ISGS_ECR
Gandhi Nagar,3.0,State,domestic,G13,False,1534.13,2190.0,3.0129210650644627,,3.0129210650644627,reconstructed_landed
Paras,2.0,State,domestic,G14,False,1452.02,2190.0,3.3085733640435064,,3.3085733640435064,reconstructed_landed
Vijaywada (Dr. N.TATA Rao Tps),4.0,State,domestic,G15,False,1264.0,2190.0,3.5824332054412276,,3.5824332054412276,reconstructed_landed
Seioni TPP,1.0,Private,domestic,G14,False,1452.02,2190.0,2.9604708284518826,,2.9604708284518826,reconstructed_landed
Indra Gandhi STPP,3.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.7350433588676553,3.466,3.466,real_ISGS_ECR
Rayal Seema,3.0,State,domestic,G14,False,1452.02,2190.0,3.2382062211271943,,3.2382062211271943,reconstructed_landed
Kota,5.0,State,domestic,G14,False,1452.02,2190.0,3.1668421114089966,,3.1668421114089966,reconstructed_landed
Dhariwal Inf TPP,1.0,Private,domestic,G12,False,1616.2400000000002,2190.0,2.691571650221875,,2.691571650221875,reconstructed_landed
Tuticorin,1.0,State,domestic,G15,False,1264.0,2190.0,3.5643045614035094,,3.5643045614035094,reconstructed_landed
Rayal Seema,4.0,State,domestic,G14,False,1452.02,2190.0,3.2874503690512746,,3.2874503690512746,reconstructed_landed
Jallippa Kapurdi TPP,2.0,Private,lignite,G14,True,1452.02,,1.54615,,1.54615,modelled_anchor
Jallippa Kapurdi TPP,1.0,Private,lignite,G14,True,1452.02,,1.5463,,1.5463,modelled_anchor
Bongaigaon TPP,3.0,Centre,domestic,G11,False,1698.3500000000001,2190.0,2.6329677934421425,3.37,3.37,real_ISGS_ECR
Mettur,2.0,State,domestic,G15,False,1264.0,2190.0,3.2357768469657,,3.2357768469657,reconstructed_landed
Kakatiya TPP (Stage-I),1.0,State,domestic,G11,False,1698.3500000000001,2190.0,2.5333782925611588,,2.5333782925611588,reconstructed_landed
Dadri (NcTPP),5.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.735172385765314,3.3,3.3,real_ISGS_ECR
Bina TPP,1.0,Private,domestic,G13,False,1534.13,2190.0,3.018253712159506,,3.018253712159506,reconstructed_landed
Farakka Stps,1.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.7149261773078495,2.68,2.68,real_ISGS_ECR
Mejia,4.0,Centre,domestic,G13,False,1534.13,2190.0,3.0570346685904157,3.142333333333333,3.142333333333333,real_ISGS_ECR
Unchahar,4.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,3.0163023998271954,3.0225,3.0225,real_ISGS_ECR
Anapara “C”,2.0,Private,domestic,G13,False,1534.13,2190.0,2.6171303807702815,,2.6171303807702815,reconstructed_landed
Korba-West,4.0,State,domestic,G13,True,1534.13,360.0,1.6989446865384616,,1.6989446865384616,reconstructed_landed
Raigarh TPP(OP Jindal Tps),3.0,Private,domestic,G15,False,1264.0,1280.0,2.4378784346378017,,2.4378784346378017,reconstructed_landed
Anuppur TPP,2.0,Private,domestic,G13,False,1534.13,2190.0,2.9868609877121117,,2.9868609877121117,reconstructed_landed
Chandrapura,7.0,Centre,domestic,G12,False,1616.2400000000002,1280.0,2.255237381179211,2.675,2.675,real_ISGS_ECR
Unchahar,5.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.9570822954202725,3.0225,3.0225,real_ISGS_ECR
